,wy,ESI_max,P,adjP,total_swe,snowfall_t,springET,maxDeficit,minDeficit,octDeficit,aprDeficit
0,2001,0.6904745101928711,763.3974774196087,763.3974774196087,0.0,0.0,325.9561046302483,368.3383549568819,0.0,0.0,0.0
1,2002,1.809614181518555,1127.457440254806,1127.457440254806,0.0,487.76406717572,310.86100118331024,420.0558717834071,0.0,368.3383549568819,7.769154392110451
2,2003,1.910289287567139,1453.2732643869072,1453.2732643869072,0.0,592.2697953301004,297.1339524348813,411.14160957668065,0.0,420.0558717834071,0.0
3,2004,1.3153754870096843,1218.5403896349385,869.2886539073318,73.1304347826087,540.7680926652727,316.30226294656677,384.4483709474833,0.0,411.14160957668065,3.490772741863154
4,2005,1.9362872441609698,1438.612613109964,1116.0831925878688,49.65217391304348,0.0,311.23745495727394,280.4973937395373,0.0,273.63745597218235,0.0
5,2006,1.0646634896596272,1795.5677824911784,48.786296541754844,189.81521739130432,813.2417381665296,316.24236384227345,346.84538202202054,0.0,280.4973937395373,0.0
6,2007,2.0144758224487305,803.7585069828153,573.8400907616872,96.24999999999999,0.0,335.5390358594433,400.9592620599298,150.01444462094992,346.84538202202054,0.0
7,2008,1.8473261197408037,993.4821806514362,240.58880714032915,154.07608695652175,552.0989071106502,300.10871353125174,347.8676692713957,189.65847815034488,293.7859175203803,5.723628951341496
8,2009,1.1484142144521077,1049.8735681071096,502.5021638301988,150.93478260869563,0.0,320.1283535866278,265.5433249922222,5.679950515156079,322.49901900998185,0.0
9,2010,2.038137435913086,1470.9614639042368,265.81648312211695,133.10869565217394,149.42685429423295,288.55494892459325,212.76819010596589,0.0,146.70675105067443,0.0
10,2011,2.552354494730632,1568.1555437642494,368.31153247145465,242.85869565217394,340.0032530024926,290.7020154083207,243.75925285779766,82.69324916714973,0.0,0.0
11,2012,1.8117338816324868,1040.974993526887,277.3656677330675,141.4673913043478,0.0,310.0741029721268,339.3944426368272,0.0,152.22833959974236,0.0
12,2013,2.375118891398112,1056.6858752522649,502.5013629819824,170.6086956521739,411.1077930770141,327.4079687901033,329.57023749550007,269.83010797914443,339.3944426368272,0.0
13,2014,2.522690455118815,601.0323303163846,601.0323303163846,2.3913043478260874,0.0,318.4521621621624,370.6130317325786,0.0,325.61641747839917,13.677068463371349
14,2015,1.7305655479431152,970.4704385912446,970.4704385912446,5.7608695652173925,0.0,335.38494091164887,413.24444325695015,195.4344857197229,287.93011360217577,39.492523922649745
15,2016,0.8578344186147054,1197.638207604719,476.109687425672,98.80434782608695,316.7130612900239,340.61363482887407,366.78211558883726,0.0,413.24444325695015,0.4094301125978461
16,2017,1.9711963335673013,1705.7526261081916,625.0181400753598,143.79347826086956,394.3130545061327,330.69281561376505,420.5993597012244,276.5824557060473,136.1363193819572,0.0
17,2018,2.3724748293558755,638.3935061298291,638.3935061298291,18.858695652173914,0.0,354.97554745649614,434.6179695381619,197.8719355017215,420.5993597012244,0.0
18,2019,1.347546100616455,1386.3733188861552,422.1630636799907,210.40217391304347,404.6547654650868,340.1906627882816,333.1153116402746,133.31407649672104,434.6179695381619,0.0
19,2020,2.1201963424682617,649.1812233986626,249.18029075949954,46.684782608695656,0.0,341.92406658648247,388.5146165833937,276.1414326084032,329.79570313291566,1.9656868583655829
20,2021,1.6187745730082197,524.3923925074579,167.56885030286412,62.81521739130435,0.0,0.0,329.72516080187387,305.8180517900661,388.5146165833937,106.29869093721346
