,T
2000-10-31,11.052376300406138
2000-11-30,0.021258631625585167
2000-12-31,1.4029635945859127
2001-01-31,-2.618803989270077
2001-02-28,-3.95790895365559
2001-03-31,4.459750834739623
2001-04-30,5.855168802881792
2001-05-31,20.85553405378232
2001-06-30,26.43996708912266
2001-07-31,26.204822256792625
2001-08-31,29.18602520374833
2001-09-30,22.672197967903003
2001-10-31,15.69161035914749
2001-11-30,3.07531343122821
2001-12-31,-4.067816752234933
2002-01-31,-3.729792481958839
2002-02-28,0.30253671058778764
2002-03-31,-0.07345225404645817
2002-04-30,8.047217758377997
2002-05-31,14.701397156500263
2002-06-30,26.07692043945002
2002-07-31,29.090089229039563
2002-08-31,26.754498976770947
2002-09-30,21.81673948946269
2002-10-31,14.436075706985662
2002-11-30,4.787621917056015
2002-12-31,-5.143314280586708
2003-01-31,0.34351380461725967
2003-02-28,-1.9003040965066589
2003-03-31,1.3760187662574026
2003-04-30,1.3408048205461114
2003-05-31,11.028763793654718
2003-06-30,24.51556098086394
2003-07-31,28.743273794564345
2003-08-31,24.64685132660759
2003-09-30,21.54328079560554
2003-10-31,17.548188345959204
2003-11-30,-0.3216083934038352
2003-12-31,-7.8257270635708664
2004-01-31,-4.377137830754293
2004-02-29,-5.724559141413181
2004-03-31,4.483215991096131
2004-04-30,9.636291063799263
2004-05-31,14.768147177443609
2004-06-30,24.98377015043269
2004-07-31,27.567061357842988
2004-08-31,26.00513248124082
2004-09-30,21.983885218827368
2004-10-31,9.26741105447627
2004-11-30,-0.04820725475406107
2004-12-31,-3.00204392336002
2005-01-31,-6.475342481557163
2005-02-28,-0.5761418877679034
2005-03-31,1.0431429289484981
2005-04-30,2.776914262098046
2005-05-31,10.68022408524422
2005-06-30,20.1169755502101
2005-07-31,28.609162208738837
2005-08-31,25.648914120561585
2005-09-30,18.16617761102941
2005-10-31,13.82035292428111
2005-11-30,4.86668186261079
2005-12-31,-1.692854607927984
2006-01-31,-2.63995019685251
2006-02-28,-0.815597108787415
2006-03-31,-3.6560509042836884
2006-04-30,4.189224021350242
2006-05-31,12.513014935554622
2006-06-30,24.07619681901417
2006-07-31,27.751498222812643
2006-08-31,25.250184001723426
2006-09-30,18.754023908521503
2006-10-31,13.404735935087785
2006-11-30,4.3680933831185484
2006-12-31,-3.093535498300355
2007-01-31,-1.4686698021756683
2007-02-28,-2.1757844756400004
2007-03-31,4.604162388252689
2007-04-30,7.583608109240231
2007-05-31,18.234958352780723
2007-06-30,24.787647470649574
2007-07-31,29.088767816752295
2007-08-31,26.746696406132287
2007-09-30,18.6009587297425
2007-10-31,11.154044327959923
2007-11-30,5.998431228233983
2007-12-31,-3.3892867913689315
2008-01-31,-5.3966160349070265
2008-02-29,-1.0799157926956013
2008-03-31,0.4798093562632175
2008-04-30,5.3483709115715214
2008-05-31,16.490319774051898
2008-06-30,24.302689297382756
2008-07-31,28.09207464186977
